Gene symbol	Gene Name	Ensembl Gene ID	Entrez Gene ID	Protein symbol	Historical class	Protein UniProtKB/Swiss-Prot AC	EC Number	CATH code of phosphatase domain	Phosphatase family based on CATH code of phosphatase domain	Subcellular localizations (curated from UniProt and LocDB)	References of subcellular localizations (PubMed IDs)	Tissue specificity (curated from UniProt)	References of tissue specificity (PubMed IDs)
BPNT1	"3'(2'), 5'-bisphosphate nucleotidase 1"	ENSG00000162813	10380	BPNT1	Inositol monophosphatase family	O95861	3.1.3.7	"3.30.540.10, 3.40.190.80"	Family 10	cytosol	10224133	"Highly expressed in kidney, liver, pancreas and heart. Detected at lower levels in brain, placenta, lung and skeletal muscle."	10224133
IMPA1	inositol(myo)-1(or 4)-monophosphatase 1	ENSG00000133731	3612	IMP 1	Inositol monophosphatase family	P29218	3.1.3.25	"3.30.540.10, 3.40.190.80"	Family 10	cytoplasm	11959401	N/A	N/A
IMPA2	inositol(myo)-1(or 4)-monophosphatase 2	ENSG00000141401	3613	IMP 2	Inositol monophosphatase family	O14732	3.1.3.25	"3.30.540.10, 3.40.190.80"	Family 10	N/A	N/A	N/A	N/A
IMPAD1	inositol monophosphatase domain containing 1	ENSG00000104331	54928	IMP 3	Inositol monophosphatase family	Q9NX62	3.1.3.25	"3.30.540.10, 3.40.190.80"	Family 10	golgi apparatus	18695242	N/A	N/A
INPP1	inositol polyphosphate-1-phosphatase	ENSG00000151689	3628	IPPase	Inositol monophosphatase family	P49441	3.1.3.57	"3.30.540.10, 3.40.190.80"	Family 10	cytoplasm	8390685	"Ubiquitously expressed, with highest levels in pancreas and kidney."	8390685
NT5C	"5', 3'-nucleotidase, cytosolic"	ENSG00000125458	30833	Deoxy-5'-nucleotidase 1	5'(3')-deoxyribonucleotidase	Q8TCD5	3.1.3.-	3.40.50.1000	Family 7	cytoplasm; cytosol; nucleus	"10681516, 2157703"	"Detected in skeletal muscle, heart and pancreas."	10681516
NT5C2	"5'-nucleotidase, cytosolic II"	ENSG00000076685	22978	Cytosolic 5'-nucleotidase 2	5'(3')-deoxyribonucleotidase	P49902	3.1.3.5	N/A	Family 7	cytoplasm; cytosol	"7999131, 2848805"	N/A	N/A
NT5DC3	5'-nucleotidase domain containing 3	ENSG00000111696	51559	NT5DC3	5'(3')-deoxyribonucleotidase	Q86UY8	3.1.3.-	3.40.50.1000	Family 7	N/A	N/A	"Expressed in brain, placenta, skeletal muscle, pancreas, testis, uterus, and small intestine. Reduced expression in pancreatic cancer cells."	15547748
NT5M	"5',3'-nucleotidase, mitochondrial"	ENSG00000205309	56953	Deoxy-5'-nucleotidase 2	5'(3')-deoxyribonucleotidase	Q9NPB1	3.1.3.-	3.40.50.1000	Family 7	cytoplasm; mitochondrion	"12124385, 10899995"	"Highly expressed in heart, brain and skeletal muscle. Detected at very low levels in kidney and pancreas."	10899995
ALPI	"alkaline phosphatase, intestinal"	ENSG00000163295	248	IAP	Alkaline phosphatase family	P09923	3.1.3.1	3.40.720.10	Family 9	cytoplasm; extracellular region; nucleus; plasma membrane	"12466148, 12577238, 12660142"	N/A	N/A
ALPL	"alkaline phosphatase, liver/bone/kidney"	ENSG00000162551	249	AP-TNAP	Alkaline phosphatase family	P05186	3.1.3.1	3.40.720.10	Family 9	plasma membrane	"14517339, 16602701"	N/A	N/A
ALPP	"alkaline phosphatase, placental"	ENSG00000163283	250	PLAP	Alkaline phosphatase family	P05187	3.1.3.1	3.40.720.10	Family 9	extracellular region; plasma membrane	"1581814, 2578098, 2153284, 1730777"	N/A	N/A
ALPPL2	"alkaline phosphatase, placental-like 2"	ENSG00000163286	251	GCAP	Alkaline phosphatase family	P10696	3.1.3.1	3.40.720.10	Family 9	extracellular region; plasma membrane	"1581814, 2578098"	"Trace amounts in the testis and thymus, and in elevated amounts in germ cell tumors."	"2834730, 2745460, 2297757, 2162249"
G6PC	"glucose-6-phosphatase, catalytic subunit"	ENSG00000131482	2538	G6Pase	Glucose-6-phosphatase family	P35575	3.1.3.9	1.20.144.10	Family 12	cytoplasm; endoplasmic reticulum	"8640227, 12189168, 7573034"	N/A	N/A
G6PC2	"glucose-6-phosphatase, catalytic, 2"	ENSG00000152254	57818	G6Pase2	Glucose-6-phosphatase family	Q9NQR9	3.1.3.9	1.20.144.10	Family 12	endoplasmic reticulum	15044018	Specifically expressed in pancreas and also detected to a lower extent in testis. Expressed by most islet cells in the pancreas (at protein level).	11297555
G6PC3	"glucose 6 phosphatase, catalytic, 3"	ENSG00000141349	92579	G6Pase3	Glucose-6-phosphatase family	Q9BUM1	3.1.3.9	1.20.144.10	Family 12	endoplasmic reticulum	13129915	"Ubiquitously expressed. Highly expressed in skeletal muscle, at intermediate levels in heart, brain, placenta, kidney, colon, thymus, spleen and pancreas. Also detected in testis, prostate, ovary, liver, lung, small intestine and peripheral blood lymphocytes."	"12370122, 12965222, 14765991"
LPIN1	lipin 1	ENSG00000134324	23175	Lipin 1	Lipin family	Q14693	3.1.3.4	3.40.50.1000	Family 7	nucleus	11138012	Abundant in adipose tissue and skeletal muscle. Lower levels in some portions of the digestive tract.	17158099
LPIN2	lipin 2	ENSG00000101577	9663	Lipin 2	Lipin family	Q92539	3.1.3.4	3.40.50.1000	Family 7	N/A	N/A	"Expressed in liver, lung, kidney, placenta, spleen, thymus, lymph node, prostate, testes, small intestine, and colon."	"17158099, 15994876"
LPIN3	lipin 3	ENSG00000132793	64900	Lipin 3	Lipin family	Q9BQK8	3.1.3.4	3.40.50.1000	Family 7	N/A	N/A	Significant expression in intestine and other regions of the gastrointestinal tract.	17158099
FIG4	"FIG4 homolog, SAC1 lipid phosphatase domain containing (S. cerevisiae)"	ENSG00000112367	9896	FIG4	SAC domain family	Q92562	3.1.3.-	N/A	Family 13	endosome	17556371	N/A	N/A
SACM1L	SAC1 suppressor of actin mutations 1-like (yeast)	ENSG00000211456	22908	SAC1	SAC domain family	Q9NTJ5	3.1.3.-	N/A	Family 13	nucleus	11593002	"Detected in heart, brain, lung, liver, kidney, pancreas and testis."	10048485
INPP5F	inositol polyphosphate-5-phosphatase F	ENSG00000198825	22876	SAC2	SAC domain family	Q9Y2H2	3.1.3.-	N/A	Family 13	N/A	N/A	Ubiquitous.	11274189
NT5C1A	"5'-nucleotidase, cytosolic IA"	ENSG00000116981	84618	Cytosolic 5'-nucleotidase 1A	5'-nucleotidase type 3	Q9BXI3	3.1.3.5	N/A	Family 14	cytoplasm; cytosol	"11690631, 11133996"	"Highly expressed in skeletal muscle. Detected at intermediate levels in heart, brain, kidney and pancreas."	11133996
NT5C1B	"5'-nucleotidase, cytosolic IB"	ENSG00000185013	93034	Cytosolic 5'-nucleotidase 1B	5'-nucleotidase type 3	Q96P26	3.1.3.5	N/A	Family 14	N/A	N/A	"Highly expressed in testis, placenta and pancreas. Detected at lower levels in heart, kidney, liver and lung."	11690631
FBP1	"fructose-1,6-bisphosphatase 1"	ENSG00000165140	2203	FBPase 1	FBPase class 1 family	P09467	3.1.3.11	"3.30.540.10, 3.40.190.80"	Family 10	cytoplasm; cytosol	"9380240, 9382095"	N/A	N/A
FBP2	"fructose-1,6-bisphosphatase 2"	ENSG00000130957	8789	FBPase 2	FBPase class 1 family	O00757	3.1.3.11	"3.30.540.10, 3.40.190.80"	Family 10	cytosol	9678974	N/A	N/A
INPP4A	"inositol polyphosphate-4-phosphatase, type I, 107kDa"	ENSG00000040933	3631	INPP4A	"Inositol-3,4-bisphosphate 4-phosphatase family"	Q96PE3	3.1.3.66	N/A	Family 15	cytoplasm	10097090	"Isoform 1 is expressed in the platelets, MEG-01 megakaryocytes and Jurkat T-cells. Isoform 2 is expressed in the brain."	11485317
INPP4B	"inositol polyphosphate-4-phosphatase, type II, 105kDa"	ENSG00000109452	8821	INPP4B	"Inositol-3,4-bisphosphate 4-phosphatase family"	O15327	3.1.3.66	N/A	Family 15	cytoplasm	10097090	Widely expressed with highest levels occurring in the skeletal muscle and heart.	9295334
ACP5	"acid phosphatase 5, tartrate resistant"	ENSG00000102575	54	TR-AP	Purple acid phosphatase	P13686	3.1.3.2	3.60.21.10	Family 5	cytoplasm; cytosol; extracellular region; vacuole	"12450668, 10639488, 2775236"	N/A	N/A
PAPL	iron/zinc purple acid phosphatase-like protein	ENSG00000183760	390928	PAPL	Purple acid phosphatase	Q6ZNF0	3.1.3.2	3.60.21.10	Family 5	N/A	N/A	N/A	N/A
NT5C3	"5'-nucleotidase, cytosolic III"	ENSG00000122643	51251	Cytosolic 5'-nucleotidase 3	Pyrimidine 5'-nucleotidase	Q9H0P0	3.1.3.5	3.40.50.1000	Family 7	cytoplasm; endoplasmic reticulum	8557639	Isoform 1 and isoform 3 are expressed in reticulocytes and lymphocytes. Isoform 4 is expressed only in reticulocytes.	"11369620, 15238149"
NT5C3L	"5'-nucleotidase, cytosolic III-like"	ENSG00000141698	115024	NT5C3L	Pyrimidine 5'-nucleotidase	Q969T7	3.1.3.5	3.40.50.1000	Family 7	N/A	N/A	N/A	N/A
SGPP1	sphingosine-1-phosphate phosphatase 1	ENSG00000126821	81537	SPP1	Type 2 lipid phosphate phosphatase family	Q9BX95	3.1.3.-	1.20.144.10	Family 12	endoplasmic reticulum	"12815058, 12235122"	"Ubiquitous, with the strongest level in placenta and kidney."	12815058
SGPP2	sphingosine-1-phosphate phosphatase 2	ENSG00000163082	130367	SPP2	Type 2 lipid phosphate phosphatase family	Q8IWX5	3.1.3.-	1.20.144.10	Family 12	endoplasmic reticulum	12411432	"Expressed strongly in kidney and heart, followed by brain, colon, small intestine and lung. Not detected in skeletal muscle, thymus, spleen, liver, placenta, and peripheral blood leukocytes."	12411432
NT5E	"5'-nucleotidase, ecto (CD73)"	ENSG00000135318	4907	CD73	5'-nucleotidase	P21589	3.1.3.5	3.60.21.10	Family 5	plasma membrane	"12170585, 3036115, 2129526"	N/A	N/A
PNKP	polynucleotide kinase 3'-phosphatase	ENSG00000039650	11284	PNKP	DNA 3' phosphatase family	Q96T60	"3.1.3.32, 2.7.1.78"	3.40.50.1000	Family 7	nucleus	"10446193, 16381850, 15635413"	"Expressed in many tissues with highest expression in spleen and testis, and lowest expression in small intestine (PubMed:10446192). Expressed in higher amount in pancreas, heart and kidney and at lower levels in brain, lung and liver (PubMed:10446193)."	"10446192, 10446193"
MINPP1	multiple inositol-polyphosphate phosphatase 1	ENSG00000107789	9562	MINPP1	Multiple inositol-polyphosphate phosphatase	Q9UNW1	3.1.3.62	3.40.50.1240	Family 8	cytoplasm; endoplasmic reticulum	"10938126, 9472008"	"Widely expressed with highest levels in kidney, liver and placenta."	9923613
PHPT1	phosphohistidine phosphatase 1	ENSG00000054148	29085	PHPT1	Phosphohistidine phosphatase 1 (Janus family)	Q9NRX4	3.1.3.-	N/A	Family 16	cytoplasm	12383260	Expressed abundantly in heart and skeletal muscle.	12383260
RPAP2	RNA polymerase II associated protein 2	ENSG00000122484	79871	RPAP2	RNA polymerase II-associated protein 2 (RPAP2) family	Q8IXW5	3.1.3.-	N/A	Family 17	N/A	N/A	N/A	N/A
PSPH	phosphoserine phosphatase	ENSG00000146733	5723	PSPase	SerB family	P78330	3.1.3.3	3.40.50.1000	Family 7	cytoplasm	1965857	N/A	N/A
SSU72	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae)	ENSG00000160075	29101	SSU72	SSU72 phosphatase family	Q9NP77	3.1.3.16	N/A	Family 18	cytoplasm; nucleus	15659578	N/A	N/A
VPS29	vacuolar protein sorting 29 homolog (S. cerevisiae)	ENSG00000111237	51699	hVPS29	Vacuolar protein sorting-associated protein 29 (VPS29) family	Q9UBQ0	3.1.3.3	3.60.21.10	Family 5	endosome; golgi apparatus	"15965486, 9700157"	"Ubiquitous. Highly expressed in heart, lung, placenta, spleen, peripheral blood leukocytes, thymus, colon skeletal muscle, kidney and brain."	"11102511, 11062004"
HDHD1	haloacid dehalogenase-like hydrolase domain containing 1	ENSG00000130021	8226	5'-PsiMPase	"HAD-like hydrolase superfamily, CbbY/CbbZ/Gph/YieH family"	Q08623	3.1.3.n6	3.40.50.1000	Family 7	N/A	N/A	N/A	N/A
LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase	ENSG00000107902	64077	hLHPP	HAD-like hydrolase superfamily	Q9H008	"3.1.3.-, 3.6.1.1"	"3.40.50.1000, 3.40.50.10410"	Family 7	cytoplasm; nucleus	16430861	"Expressed in brain, and at lower levels in liver and kidney. Detected in thyroid (at protein level). Expressed in liver, kidney and moderately in brain."	"12801912, 16430861"
EPHX2	"epoxide hydrolase 2, cytoplasmic"	ENSG00000120915	2053	sEH	"AB hydrolase superfamily, Epoxide hydrolase family"	P34913	3.3.2.10	3.40.50.1000	Family 7	cytoplasm; microbody	"6185139, 10094477, 8342951"	N/A	N/A
PMM1	phosphomannomutase 1	ENSG00000100417	5372	PMM 1	Eukaryotic PMM family	Q92871	5.4.2.8	3.40.50.1000	Family 7	cytoplasm	9376685	"Strong expression in liver, heart, brain, and pancreas; lower expression in skeletal muscle."	9070917
UBASH3B	ubiquitin associated and SH3 domain containing B	ENSG00000154127	84959	STS-1	Phosphoglycerate mutase	Q8TF42	3.1.3.48	N/A	Family 8	N/A	N/A	N/A	N/A
STYX_inactive	serine/threonine/tyrosine interacting protein	ENSG00000198252	6815	STYX	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	Q8WUJ0	N/A	3.90.190.10	Family 1	N/A	N/A	N/A	N/A
TNS1_inactive	tensin 1	ENSG00000079308	7145	Tensin-1	Phosphatase and tensin homologs (PTENs)	Q9HBL0	N/A	N/A	Family 1	cell surface;cell junction;focal adhesion;cytoplasm;cytoskeleton;plasma membrane	11023826	Ubiquitous.	11023826
NT5DC2	5'-nucleotidase domain containing 2	ENSG00000168268	64943	NT5DC2	5'(3')-deoxyribonucleotidase	Q9H857	3.1.3.-	N/A	Family 7	N/A	N/A		
SBF1_inactive	SET binding factor 1	ENSG00000100241	6305	MTMR5	Myotubularins	O95248	N/A	N/A	Family 1	cytoplasm;nucleus	"9537414,11686296,16787938"	N/A	N/A
MTMR12_inactive	myotubularin related protein 12	ENSG00000150712	54545	MTMR12	Myotubularins	Q9C0I1	N/A	N/A	Family 1	cytoplasm	N/A	"Ubiquitous with prominent expression in brain, heart, kidney, placenta, and lung."	11504939
PTPRN_inactive	"protein tyrosine phosphatase, receptor type, N"	ENSG00000054356	5798	PTP IA-2	Receptor protein tyrosine phosphatases (RPTPs)	Q16849	N/A	3.90.190.10	Family 1	plasma membrane;membrane	11079748	"Expression is restricted to neuroendocrine cells. Found in pancreas, brain and pituitary."	8024693
MTMR9_inactive	myotubularin related protein 9	ENSG00000104643	66036	MTMR9	Myotubularins	Q96QG7	N/A	N/A	Family 1	cytoplasm	"12890864,16787938"	Expressed in many tissues.	N/A
NT5DC4	5'-nucleotidase domain containing 4	ENSG00000144130	284958	NT5DC4	5'(3')-deoxyribonucleotidase	Q86YG4	N/A	N/A	Family 7	N/A	N/A	N/A	N/A
NT5DC1	5'-nucleotidase domain containing 1	ENSG00000178425	221294	NT5DC1	5'(3')-deoxyribonucleotidase	Q5TFE4	3.1.3.-	N/A	Family 7	N/A	N/A	N/A	N/A
STYXL1_inactive	serine/threonine/tyrosine interacting-like 1	ENSG00000127952;ENSG00000262263	51657	STYXL1	Nonreceptor-type protein tyrosine phosphatases (NRPTPs)	Q9Y6J8	N/A	N/A	Family 1	N/A	N/A	N/A	N/A
MTMR11_inactive	myotubularin related protein 11	ENSG00000014914;ENSG00000264524	10903	MTMR11	Myotubularins	A4FU01	N/A	N/A	Family 1	N/A	N/A	"Expressed in bone marrow, spleen and thymus."	17498563
MTMR10_inactive	myotubularin related protein 10	ENSG00000166912	54893	MTMR10	Myotubularins	Q9NXD2	N/A	N/A	Family 1	N/A	N/A	N/A	N/A
SBF2_inactive	SET binding factor 2	ENSG00000133812	81846	MTMR13	Myotubularins	Q86WG5	N/A	N/A	Family 1	cytoplasm;membrane	N/A	Widely expressed. Expressed in spinal cord.	12554688
FAN1_inactive	FANCD2/FANCI-associated nuclease 1	ENSG00000198690	22909	MTMR15	Myotubularins	Q9Y2M0	3.1.21.-;3.1.4.1	N/A	Family 1	Nucleus	20603073	N/A	N/A
